ap_Age,ap_Education,ap_YearsOfExperience,ap_TechnicalScore,ap_InterviewScore,ap_PreviouEmployment,em_Age,em_Education,em_YearsOfExperience,em_TechnicalScore,em_InterviewScore,em_PreviouEmployment,Suitable
23,3,9,31,3,Yes,28,1,14,41,6,Yes,No
23,3,24,89,8,Yes,28,2,4,67,2,Yes,No
35,3,0,38,9,Yes,20,2,7,87,4,Yes,No
32,2,39,28,9,Yes,40,2,0,58,5,Yes,No
45,1,26,27,5,Yes,21,1,2,50,4,Yes,No
41,3,10,9,4,Yes,43,1,8,11,2,Yes,No
40,2,15,6,2,Yes,57,2,3,15,2,Yes,No
23,2,0,99,1,Yes,54,3,34,72,6,Yes,No
55,3,36,4,6,Yes,20,1,28,54,5,Yes,No
47,3,30,94,1,Yes,40,2,16,56,2,Yes,No
22,2,39,84,2,Yes,31,3,11,85,1,Yes,No
36,1,26,17,4,Yes,48,3,9,37,2,Yes,No
45,2,39,81,7,Yes,19,3,26,68,2,Yes,No
32,1,26,66,5,Yes,41,3,12,14,1,Yes,No
42,2,34,67,8,Yes,21,2,8,51,8,Yes,No
45,2,13,6,2,Yes,29,1,33,96,4,Yes,No
23,3,35,20,1,Yes,24,3,4,20,5,Yes,No
38,3,29,53,5,Yes,47,3,34,8,6,Yes,No
25,2,2,51,3,Yes,35,3,29,87,6,Yes,No
59,3,38,80,5,Yes,20,1,35,27,5,Yes,No
56,3,37,60,1,Yes,46,3,21,57,9,Yes,No
39,3,33,44,5,Yes,43,2,26,15,5,Yes,No
37,1,0,82,3,Yes,28,1,4,76,9,Yes,No
45,1,19,79,2,Yes,59,2,19,4,9,Yes,No
25,3,5,18,2,Yes,29,1,33,40,8,Yes,No
28,2,28,58,6,Yes,29,3,15,68,7,Yes,No
44,1,31,71,4,Yes,59,3,7,91,5,Yes,No
32,2,20,94,2,Yes,46,1,39,75,2,Yes,No
46,2,25,5,1,Yes,39,3,32,5,6,Yes,No
57,2,39,73,5,Yes,51,1,34,11,2,Yes,No
44,2,16,64,2,Yes,31,3,36,92,7,Yes,No
18,1,11,97,7,Yes,25,3,5,12,5,Yes,No
59,2,39,17,6,Yes,37,2,30,99,5,Yes,No
51,3,7,17,6,Yes,39,2,2,94,2,Yes,No
41,3,25,78,1,Yes,32,3,17,38,4,Yes,No
19,2,26,56,7,Yes,45,3,7,91,4,Yes,No
54,2,2,62,9,Yes,54,2,38,17,9,Yes,No
50,2,36,63,9,Yes,18,1,39,1,8,Yes,No
58,3,23,95,6,Yes,20,2,15,72,5,Yes,No
56,2,6,14,3,Yes,45,2,5,98,2,Yes,No
55,2,22,72,8,Yes,58,1,5,14,9,Yes,No
56,2,23,20,6,Yes,37,2,26,96,7,Yes,No
58,3,6,27,7,Yes,29,2,34,3,8,Yes,No
59,1,31,97,6,Yes,53,2,31,45,7,Yes,No
40,2,2,94,1,Yes,46,2,2,41,3,Yes,No
38,2,37,28,8,Yes,52,1,19,11,9,Yes,No
23,1,2,89,6,Yes,25,3,37,77,9,Yes,No
20,3,0,93,4,Yes,36,3,22,21,9,Yes,No
36,1,39,3,6,Yes,39,1,19,20,1,Yes,No
21,2,10,74,6,Yes,27,3,5,91,2,Yes,Yes
45,1,5,34,5,Yes,45,1,17,58,2,Yes,No
19,3,29,67,1,Yes,48,2,31,22,7,Yes,No
48,2,24,99,1,Yes,31,3,11,64,1,Yes,Yes
35,1,35,32,1,Yes,30,1,2,53,6,Yes,No
45,2,21,50,2,Yes,20,2,29,89,5,Yes,No
39,1,36,12,6,Yes,45,1,27,80,2,Yes,No
34,2,13,72,3,Yes,26,1,23,70,6,Yes,No
25,3,24,74,5,Yes,43,3,3,46,5,Yes,No
27,3,8,89,7,Yes,40,2,36,30,4,Yes,No
27,3,14,62,2,Yes,57,2,28,60,1,Yes,No
41,2,28,77,5,Yes,30,2,21,52,3,Yes,No
44,2,38,3,5,Yes,57,1,34,28,7,Yes,No
47,3,25,68,9,Yes,42,3,30,47,5,Yes,Yes
34,3,35,53,1,Yes,39,1,12,12,7,Yes,No
49,1,3,32,7,Yes,30,2,1,69,5,Yes,No
56,3,33,18,6,Yes,52,2,15,70,1,Yes,No
31,1,37,13,9,Yes,51,3,39,11,9,Yes,No
22,2,23,82,3,Yes,50,1,13,61,6,Yes,No
48,3,20,84,6,Yes,53,3,10,97,7,Yes,No
21,3,36,93,5,Yes,59,3,7,78,8,Yes,No
41,2,28,67,5,Yes,41,2,38,25,1,Yes,No
26,1,22,55,1,Yes,25,1,26,3,5,Yes,No
21,3,15,38,9,Yes,30,3,0,1,1,Yes,Yes
50,1,8,70,2,Yes,58,1,27,23,8,Yes,No
38,2,17,37,7,Yes,47,3,39,54,1,Yes,No
36,2,6,75,4,Yes,24,2,25,27,8,Yes,No
22,1,7,51,3,Yes,43,1,21,53,3,Yes,No
53,2,32,55,3,Yes,36,1,5,65,4,Yes,No
52,2,26,93,7,Yes,33,2,24,49,3,Yes,No
54,1,17,37,9,Yes,43,1,14,25,4,Yes,No
45,3,0,20,7,Yes,51,2,20,80,5,Yes,No
46,3,17,53,3,Yes,56,3,20,67,7,Yes,No
39,2,32,86,3,Yes,32,1,12,49,7,Yes,No
44,3,1,72,4,Yes,31,3,32,43,5,Yes,No
53,1,11,10,3,Yes,50,1,32,14,1,Yes,No
25,3,27,40,4,Yes,42,2,32,49,5,Yes,No
25,3,12,97,3,Yes,51,1,33,94,1,Yes,No
45,3,6,76,3,Yes,21,1,8,89,7,Yes,No
19,3,10,32,6,Yes,57,2,24,40,8,Yes,No
20,1,6,30,4,Yes,58,2,1,75,6,Yes,No
41,3,33,43,5,Yes,59,3,6,61,5,Yes,No
48,2,18,50,6,Yes,35,3,37,9,7,Yes,Yes
20,2,6,30,8,Yes,26,3,13,60,1,Yes,No
44,3,21,28,8,Yes,33,1,33,32,4,Yes,No
47,2,10,57,5,Yes,46,1,4,25,4,Yes,No
55,1,6,22,8,Yes,20,2,0,74,5,Yes,No
46,2,21,20,9,Yes,25,3,19,84,6,Yes,No
35,1,34,67,3,Yes,49,1,24,69,6,Yes,No
54,2,30,73,9,Yes,42,1,32,36,5,Yes,No
23,2,30,85,6,Yes,30,1,37,16,6,Yes,No
18,3,37,62,7,Yes,41,2,29,78,6,Yes,No
27,3,1,99,7,Yes,48,2,14,38,6,Yes,No
18,1,39,23,4,Yes,52,2,17,85,9,Yes,No
59,3,12,82,8,Yes,57,2,1,63,9,Yes,No
28,1,13,92,7,Yes,32,1,17,68,7,Yes,No
39,2,28,45,5,Yes,28,2,13,64,1,Yes,No
44,1,13,47,3,Yes,36,2,23,30,5,Yes,No
44,3,21,54,7,Yes,42,1,4,18,5,Yes,No
50,2,13,33,3,Yes,35,1,30,26,9,Yes,No
50,3,10,73,7,Yes,40,2,17,81,2,Yes,No
31,2,31,42,8,Yes,47,3,4,22,5,Yes,No
43,2,13,38,2,Yes,18,2,39,43,8,Yes,No
32,1,9,38,3,Yes,18,2,21,19,7,Yes,No
39,3,0,55,1,Yes,38,2,24,32,2,Yes,No
42,2,23,82,1,Yes,29,3,18,14,9,Yes,No
55,2,39,93,8,Yes,25,2,30,97,1,Yes,No
34,1,37,10,2,Yes,21,1,18,64,5,Yes,No
26,2,22,11,8,Yes,45,3,27,38,5,Yes,No
29,3,39,11,4,Yes,28,3,37,1,3,Yes,No
45,1,6,15,5,Yes,45,3,13,24,5,Yes,No
35,1,35,60,9,Yes,31,3,37,17,8,Yes,No
47,3,13,36,2,Yes,23,1,24,31,1,Yes,No
43,1,23,42,7,Yes,34,3,31,41,7,Yes,No
51,3,22,73,8,Yes,21,2,10,11,7,Yes,No
43,3,19,95,9,Yes,29,3,23,34,4,Yes,No
58,1,39,95,5,Yes,26,2,16,58,6,Yes,No
43,3,16,15,4,Yes,27,1,5,4,3,Yes,No
51,3,8,94,6,Yes,28,2,4,92,9,Yes,No
35,3,5,82,6,Yes,59,2,29,61,1,Yes,Yes
45,3,26,44,2,Yes,21,2,36,10,6,Yes,No
28,1,34,55,1,Yes,34,1,13,80,2,Yes,No
58,2,4,21,7,Yes,22,2,26,87,9,Yes,No
46,3,33,34,4,Yes,47,1,12,33,6,Yes,No
32,2,4,45,3,Yes,43,3,13,54,3,Yes,Yes
19,1,37,74,2,Yes,59,2,28,23,4,Yes,No
55,2,18,89,7,Yes,33,1,12,91,7,Yes,No
31,1,7,80,9,Yes,23,3,25,48,4,Yes,No
51,1,20,67,5,Yes,23,3,16,10,2,Yes,No
58,1,29,6,2,Yes,43,2,12,99,3,Yes,No
19,3,39,70,7,Yes,56,2,3,48,3,Yes,No
24,1,26,67,2,Yes,33,3,1,21,2,Yes,No
59,2,22,53,1,Yes,45,3,7,63,8,Yes,Yes
43,2,28,84,2,Yes,59,2,6,55,6,Yes,No
48,3,16,81,7,Yes,39,2,8,78,1,Yes,No
37,1,30,85,2,Yes,59,3,19,28,5,Yes,Yes
20,3,29,95,8,Yes,57,1,8,39,7,Yes,No
44,2,25,51,8,Yes,45,2,15,50,5,Yes,No
52,3,13,92,9,Yes,52,2,31,8,5,Yes,No
43,2,6,9,8,Yes,21,3,22,81,2,Yes,No
25,2,25,79,2,Yes,39,2,22,70,1,Yes,No
57,1,31,88,9,Yes,58,2,34,25,5,Yes,Yes
41,1,26,92,6,Yes,51,1,5,72,1,Yes,No
57,1,22,64,1,Yes,40,2,24,51,1,Yes,No
33,1,1,20,2,Yes,39,3,23,2,5,Yes,No
25,2,1,13,1,Yes,48,2,36,4,6,Yes,No
27,3,7,96,7,Yes,54,1,30,90,9,Yes,No
41,3,13,24,2,Yes,38,3,31,53,8,Yes,No
34,1,24,47,8,Yes,46,3,33,10,2,Yes,No
49,2,0,62,1,Yes,46,2,19,31,7,Yes,No
30,1,34,77,1,Yes,41,2,12,21,9,Yes,No
49,1,17,93,3,Yes,59,1,33,86,2,Yes,No
26,2,31,45,8,Yes,31,3,26,72,2,Yes,No
58,1,0,37,3,Yes,47,3,26,55,7,Yes,No
41,3,25,90,7,Yes,56,1,1,74,6,Yes,No
36,1,19,63,3,Yes,30,1,18,97,8,Yes,No
43,1,20,21,8,Yes,54,3,12,56,3,Yes,No
27,2,34,97,3,Yes,39,3,7,49,2,Yes,No
48,1,10,74,8,Yes,51,1,36,22,7,Yes,Yes
55,3,7,89,8,Yes,54,2,12,26,4,Yes,No
33,3,6,64,3,Yes,48,1,38,55,6,Yes,No
25,1,10,12,4,Yes,36,2,26,27,9,Yes,No
48,2,18,81,6,Yes,24,1,26,40,1,Yes,No
51,1,10,69,3,Yes,34,2,14,2,6,Yes,No
28,2,23,53,3,Yes,33,3,0,75,6,Yes,No
21,2,8,64,6,Yes,44,1,18,91,8,Yes,No
42,1,37,58,2,Yes,54,1,23,41,4,Yes,No
20,2,39,99,9,Yes,25,1,29,79,7,Yes,No
38,3,1,68,7,Yes,56,2,36,41,9,Yes,No
41,3,1,80,8,Yes,54,2,34,57,3,Yes,No
42,3,13,39,1,Yes,22,2,11,36,6,Yes,No
29,2,19,98,1,Yes,34,3,16,26,9,Yes,No
59,2,30,93,6,Yes,18,3,15,96,9,Yes,No
52,2,38,66,8,Yes,23,2,32,62,7,Yes,No
32,1,6,72,8,Yes,54,2,7,49,8,Yes,No
43,1,20,76,7,Yes,19,1,2,70,8,Yes,No
53,2,1,23,3,Yes,53,1,12,58,5,Yes,No
44,3,34,15,5,Yes,22,3,20,97,6,Yes,No
46,3,31,42,3,Yes,42,3,36,29,3,Yes,No
41,1,26,81,1,Yes,27,2,37,81,2,Yes,No
47,3,6,97,7,Yes,54,1,28,54,9,Yes,No
53,2,18,52,4,Yes,43,1,25,66,3,Yes,No
36,1,18,96,1,Yes,35,3,17,71,9,Yes,No
36,2,31,49,8,Yes,43,3,13,68,7,Yes,No
52,1,15,1,1,Yes,20,1,4,7,8,Yes,No
21,2,13,2,9,Yes,38,2,3,35,5,Yes,No
57,2,35,66,1,Yes,46,2,29,28,5,Yes,No
30,1,33,60,7,Yes,25,2,37,89,4,Yes,No
46,1,31,42,6,Yes,34,1,0,31,4,Yes,No
18,3,7,77,5,Yes,44,1,28,38,5,Yes,No
48,2,39,50,8,Yes,39,2,31,84,4,Yes,No
45,3,10,79,5,Yes,34,3,5,76,5,Yes,No
33,3,27,87,6,Yes,37,3,26,12,4,Yes,No
53,3,6,46,4,Yes,32,1,3,72,5,Yes,No
36,3,34,36,1,Yes,28,1,0,72,5,Yes,No
34,2,14,18,7,Yes,21,3,2,41,1,Yes,No
56,2,24,20,6,Yes,43,1,38,28,2,Yes,No
42,1,27,96,2,Yes,30,2,9,40,7,Yes,No
34,3,29,70,6,Yes,28,1,6,45,5,Yes,No
36,1,29,18,6,Yes,40,3,39,27,5,Yes,No
21,2,7,85,1,Yes,55,2,27,92,1,Yes,No
52,2,22,96,5,Yes,33,2,31,3,7,Yes,No
53,2,22,14,1,Yes,52,1,10,69,8,Yes,No
18,1,6,37,2,Yes,49,1,39,78,9,Yes,No
50,3,2,70,6,Yes,40,1,1,90,1,Yes,No
46,1,24,65,4,Yes,24,1,6,37,6,Yes,No
32,2,37,85,8,Yes,35,3,22,50,8,Yes,No
50,3,8,88,9,Yes,46,1,25,41,4,Yes,No
43,2,31,15,1,Yes,35,2,17,24,7,Yes,No
48,3,22,17,8,Yes,19,2,12,84,5,Yes,No
25,1,22,56,6,Yes,45,1,29,20,1,Yes,No
18,2,9,26,2,Yes,32,2,12,15,4,Yes,No
44,1,22,57,6,Yes,58,3,7,71,9,Yes,No
24,1,4,53,1,Yes,59,3,29,67,2,Yes,No
53,1,33,62,6,Yes,32,1,2,15,4,Yes,No
23,1,26,41,5,Yes,20,2,25,78,9,Yes,No
29,2,7,13,5,Yes,37,3,1,1,8,Yes,No
58,1,23,38,1,Yes,54,2,34,23,3,Yes,No
47,2,39,11,8,Yes,44,1,36,30,3,Yes,No
44,3,14,58,1,Yes,24,3,4,70,7,Yes,No
22,3,27,50,8,Yes,18,2,20,71,2,Yes,No
19,1,22,44,3,Yes,34,2,3,16,8,Yes,No
50,3,37,82,4,Yes,51,1,31,55,3,Yes,No
18,3,35,68,2,Yes,24,1,13,89,1,Yes,No
54,2,39,65,3,Yes,53,3,11,21,5,Yes,No
58,1,22,45,4,Yes,52,1,15,50,9,Yes,No
42,3,26,42,5,Yes,33,1,10,82,5,Yes,No
58,1,35,29,8,Yes,28,1,38,33,3,Yes,No
46,1,15,24,4,Yes,49,3,0,54,5,Yes,Yes
40,3,1,10,5,Yes,38,2,4,5,2,Yes,No
50,2,7,42,1,Yes,20,1,39,33,7,Yes,No
36,2,2,59,7,Yes,31,3,0,50,8,Yes,No
53,1,17,67,2,Yes,51,1,4,19,5,Yes,No
44,1,10,69,6,Yes,34,2,23,15,6,Yes,No
21,1,7,52,6,Yes,47,2,20,68,4,Yes,No
30,1,2,11,1,Yes,43,1,33,87,5,Yes,No
24,1,18,99,2,Yes,21,3,15,35,7,Yes,No
34,3,16,66,1,Yes,18,3,31,30,3,Yes,No
22,1,36,9,9,Yes,37,3,13,64,1,Yes,No
36,2,25,17,1,Yes,54,1,15,10,4,Yes,No
59,1,20,32,4,Yes,20,3,27,55,2,Yes,Yes
37,3,34,31,2,Yes,52,1,21,18,4,Yes,No
20,2,9,54,4,Yes,41,1,30,10,9,Yes,No
28,2,0,94,1,Yes,44,1,0,36,4,Yes,No
57,2,11,97,4,Yes,35,3,18,95,7,Yes,No
56,2,24,61,2,Yes,39,1,33,39,7,Yes,No
54,2,22,34,8,Yes,19,1,22,95,5,Yes,No
27,3,24,81,5,Yes,38,2,0,33,6,Yes,No
22,2,32,10,3,Yes,20,2,10,16,9,Yes,No
52,3,17,61,3,Yes,30,2,15,52,8,Yes,No
56,3,25,85,6,Yes,38,3,35,89,3,Yes,No
23,3,11,17,5,Yes,47,3,26,30,1,Yes,No
19,2,24,33,3,Yes,35,2,28,98,2,Yes,No
32,3,38,2,8,Yes,29,1,2,85,5,Yes,No
36,3,15,31,1,Yes,30,3,16,86,7,Yes,No
29,3,34,86,2,Yes,28,1,4,16,9,Yes,No
48,1,16,65,3,Yes,27,2,15,76,5,Yes,Yes
26,3,12,14,1,Yes,52,1,5,2,2,Yes,No
50,1,18,74,9,Yes,29,3,6,85,3,Yes,No
24,3,15,13,9,Yes,28,2,2,43,9,Yes,No
35,2,6,84,8,Yes,45,1,10,31,9,Yes,No
46,3,8,19,4,Yes,44,3,27,78,4,Yes,No
22,3,14,25,2,Yes,26,2,0,21,7,Yes,No
47,1,24,82,6,Yes,23,3,17,84,4,Yes,No
34,1,36,77,5,Yes,40,2,23,20,4,Yes,No
43,3,20,36,4,Yes,54,1,6,34,5,Yes,No
30,2,39,26,3,Yes,35,2,16,28,9,Yes,No
59,3,34,85,8,Yes,44,1,4,89,3,Yes,No
43,2,37,84,5,Yes,32,2,12,11,4,Yes,No
29,3,1,14,8,Yes,59,3,13,59,6,Yes,No
53,2,23,42,8,Yes,51,1,4,7,4,Yes,No
52,1,8,17,4,Yes,29,3,14,28,5,Yes,No
28,3,32,46,7,Yes,31,3,15,17,6,Yes,No
29,3,4,75,6,Yes,38,3,34,72,1,Yes,No
37,3,26,24,4,Yes,50,3,11,89,5,Yes,No
19,1,13,66,3,Yes,36,1,38,42,6,Yes,No
36,2,12,85,5,Yes,26,2,10,45,2,Yes,No
48,1,19,7,1,Yes,45,1,21,43,7,Yes,No
46,2,33,24,5,Yes,18,3,13,60,3,Yes,No
42,1,10,6,3,Yes,20,3,3,53,9,Yes,No
40,2,3,21,1,Yes,34,2,3,52,9,Yes,Yes
48,3,22,59,8,Yes,57,2,21,97,2,Yes,No
32,3,21,13,5,Yes,32,1,6,80,2,Yes,No
58,3,28,46,1,Yes,38,2,9,8,8,Yes,No
52,1,31,64,9,Yes,26,1,16,84,4,Yes,No
36,1,33,64,1,Yes,45,1,38,93,6,Yes,No
44,1,14,5,8,Yes,19,3,37,11,1,Yes,No
33,1,32,31,6,Yes,50,3,17,78,6,Yes,No
20,2,34,84,4,Yes,22,3,26,55,6,Yes,No
47,2,23,18,3,Yes,28,1,7,93,6,Yes,No
49,2,38,75,7,Yes,43,1,37,22,1,Yes,No
50,1,26,11,3,Yes,58,1,28,62,5,Yes,Yes
36,1,10,31,1,Yes,53,3,22,11,6,Yes,No
55,2,15,82,7,Yes,40,2,31,5,6,Yes,No
29,3,31,62,4,Yes,37,2,25,55,4,Yes,Yes
36,3,16,30,2,Yes,47,1,8,45,1,Yes,No
32,2,8,4,4,Yes,34,2,15,55,6,Yes,No
31,3,17,13,4,Yes,21,3,37,39,2,Yes,No
25,2,9,59,6,Yes,23,3,39,46,8,Yes,No
38,2,2,63,1,Yes,25,1,26,59,7,Yes,No
56,1,22,7,3,Yes,27,2,27,89,7,Yes,No
32,2,2,28,3,Yes,57,3,25,25,1,Yes,No
25,1,17,47,6,Yes,50,1,14,71,1,Yes,No
31,3,11,18,7,Yes,20,2,31,45,6,Yes,No
25,3,21,97,8,Yes,31,1,15,68,1,Yes,No
57,1,25,21,5,Yes,43,1,3,34,2,Yes,No
44,2,13,16,6,Yes,22,1,0,22,7,Yes,No
48,1,3,6,3,Yes,23,3,5,17,5,Yes,No
38,3,30,15,5,Yes,25,3,27,1,9,Yes,No
21,1,21,35,9,Yes,25,2,9,47,9,Yes,No
56,3,33,12,2,Yes,20,1,5,44,3,Yes,No
42,2,39,12,7,Yes,18,2,27,2,9,Yes,No
26,2,4,17,7,Yes,21,3,18,47,1,Yes,No
19,2,25,86,2,Yes,29,2,0,65,1,Yes,No
25,1,13,58,4,Yes,59,2,30,17,8,Yes,No
22,1,21,18,3,Yes,22,1,1,91,8,Yes,No
21,1,4,73,6,Yes,31,3,36,96,7,Yes,No
56,1,15,23,2,Yes,20,3,9,52,9,Yes,No
47,1,0,46,9,Yes,21,2,28,55,3,Yes,No
31,2,38,91,4,Yes,35,3,5,13,5,Yes,No
54,1,29,28,3,Yes,59,2,5,72,6,Yes,No
29,1,21,76,1,Yes,18,2,35,4,3,Yes,No
43,1,23,42,2,Yes,21,1,20,98,2,Yes,No
56,2,4,32,8,Yes,38,2,39,91,4,Yes,No
49,1,2,84,6,Yes,49,2,19,48,9,Yes,No
18,3,2,68,3,Yes,36,1,15,20,9,Yes,No
23,3,28,19,6,Yes,49,1,5,11,3,Yes,No
39,3,36,15,4,Yes,49,3,36,14,5,Yes,No
27,3,35,98,9,Yes,56,2,30,38,9,Yes,No
54,3,30,11,6,Yes,19,1,28,94,5,Yes,No
42,2,6,52,9,Yes,54,2,30,82,8,Yes,No
30,2,24,66,8,Yes,22,3,21,38,4,Yes,No
52,1,10,6,5,Yes,26,1,8,38,8,Yes,No
43,1,16,38,3,Yes,53,1,12,70,4,Yes,No
30,2,29,47,8,Yes,56,2,38,9,2,Yes,No
23,3,24,21,2,Yes,52,2,13,93,9,Yes,No
24,3,36,29,8,Yes,35,2,33,64,9,Yes,No
40,1,12,15,2,Yes,33,2,6,6,8,Yes,No
42,2,22,86,1,Yes,50,2,26,33,9,Yes,No
36,3,35,26,6,Yes,54,2,10,67,5,Yes,No
51,1,31,13,1,Yes,49,2,39,57,1,Yes,No
52,2,26,78,7,Yes,18,3,33,83,2,Yes,No
33,1,26,45,6,Yes,27,2,15,1,5,Yes,No
42,3,6,1,5,Yes,44,2,25,21,4,Yes,No
28,1,13,75,3,Yes,33,2,9,21,9,Yes,No
40,2,23,76,9,Yes,38,1,35,48,4,Yes,No
31,3,3,42,4,Yes,18,3,36,64,6,Yes,No
29,1,23,59,5,Yes,37,3,17,35,1,Yes,No
51,2,36,42,8,Yes,39,3,7,13,5,Yes,No
34,1,39,67,9,Yes,19,2,31,82,4,Yes,No
37,1,0,2,4,Yes,42,3,32,68,4,Yes,No
48,1,15,26,4,Yes,34,2,24,73,6,Yes,No
24,3,19,6,5,Yes,20,2,16,95,8,Yes,No
23,3,0,25,4,Yes,52,2,4,84,2,Yes,No
58,2,25,23,3,Yes,37,1,18,5,3,Yes,No
53,1,13,38,9,Yes,53,1,7,77,7,Yes,No
52,3,4,89,3,Yes,53,3,37,48,6,Yes,No
29,3,11,76,1,Yes,29,3,28,67,4,Yes,No
43,2,22,49,7,Yes,26,1,12,68,6,Yes,Yes
48,1,10,13,3,Yes,58,1,19,42,3,Yes,No
39,1,28,55,7,Yes,49,3,28,69,4,Yes,No
43,2,25,98,6,Yes,43,2,5,84,8,Yes,No
45,3,27,7,8,Yes,50,1,30,7,2,Yes,No
28,3,39,33,6,Yes,39,3,1,68,2,Yes,No
41,3,25,50,8,Yes,44,3,22,30,9,Yes,No
41,1,4,90,4,Yes,33,1,27,85,2,Yes,No
26,3,8,96,1,Yes,55,2,4,47,2,Yes,No
58,3,38,60,6,Yes,29,2,27,54,4,Yes,No
21,3,25,92,9,Yes,33,3,34,52,5,Yes,No
53,1,39,73,2,Yes,38,1,26,38,2,Yes,No
26,3,21,31,2,Yes,18,2,34,42,5,Yes,No
50,1,1,74,7,Yes,45,3,4,37,2,Yes,No
47,2,32,61,8,Yes,27,2,6,66,3,Yes,No
28,2,22,10,1,Yes,31,3,36,99,3,Yes,No
27,2,35,35,7,Yes,40,3,5,45,9,Yes,No
23,1,11,96,4,Yes,24,3,33,70,6,Yes,No
38,3,25,77,6,Yes,49,1,14,34,1,Yes,No
33,3,0,28,4,Yes,21,3,19,57,6,Yes,No
42,3,17,94,6,Yes,41,2,32,9,3,Yes,No
34,3,10,43,6,Yes,18,1,37,88,5,Yes,No
29,2,26,12,1,Yes,28,1,38,49,9,Yes,No
58,2,8,64,6,Yes,56,3,38,2,7,Yes,No
58,3,6,25,4,Yes,23,1,8,22,7,Yes,No
46,1,29,28,8,Yes,25,1,1,69,9,Yes,No
26,1,33,6,2,Yes,46,1,25,68,7,Yes,No
37,1,34,31,3,Yes,21,2,15,83,2,Yes,No
37,3,33,45,3,Yes,37,2,32,88,3,Yes,No
39,2,10,40,6,Yes,58,3,5,72,9,Yes,No
38,1,34,4,2,Yes,43,3,17,75,8,Yes,No
18,1,7,68,3,Yes,51,2,16,72,6,Yes,No
34,1,37,40,3,Yes,58,1,32,48,2,Yes,No
33,3,19,47,8,Yes,25,2,12,29,8,Yes,No
30,1,1,14,6,Yes,50,3,37,97,9,Yes,No
29,1,12,87,1,Yes,31,3,31,50,1,Yes,No
21,2,28,2,9,Yes,45,3,4,33,2,Yes,No
54,3,24,36,2,Yes,28,3,23,3,2,Yes,No
31,3,6,60,5,Yes,38,1,7,81,1,Yes,No
47,1,11,79,5,Yes,38,3,24,50,8,Yes,No
40,3,27,23,1,Yes,57,1,22,27,9,Yes,No
36,2,25,10,6,Yes,30,3,14,62,8,Yes,No
54,1,8,50,1,Yes,18,2,1,97,4,Yes,No
46,3,30,55,8,Yes,53,2,14,43,7,Yes,No
28,1,4,68,4,Yes,55,2,4,62,7,Yes,No
51,1,15,63,9,Yes,24,2,23,66,5,Yes,No
36,3,8,73,1,Yes,22,2,37,98,2,Yes,No
26,3,28,78,2,Yes,56,1,9,51,5,Yes,No
54,3,29,87,4,Yes,47,3,31,60,9,Yes,No
34,1,29,99,7,Yes,37,1,20,7,4,Yes,No
18,3,36,97,3,Yes,23,2,25,11,3,Yes,No
59,1,32,17,6,Yes,24,1,33,40,5,Yes,No
39,2,33,24,9,Yes,21,2,10,71,4,Yes,No
22,2,9,62,8,Yes,59,1,34,99,2,Yes,No
48,3,1,37,6,Yes,30,2,39,36,1,Yes,No
42,1,3,47,8,Yes,19,2,20,86,5,Yes,No
21,1,19,79,3,Yes,23,2,2,13,5,Yes,No
42,1,34,82,2,Yes,53,1,12,86,4,Yes,No
42,2,3,83,9,Yes,37,3,29,25,1,Yes,No
52,2,21,51,6,Yes,19,1,19,74,4,Yes,No
31,2,6,47,2,Yes,31,1,31,64,7,Yes,No
40,2,33,70,1,Yes,59,3,0,48,7,Yes,No
18,2,16,17,6,Yes,20,3,3,92,1,Yes,No
18,3,19,47,4,Yes,41,2,4,10,7,Yes,No
34,1,24,36,2,Yes,28,3,36,69,9,Yes,No
28,2,34,26,3,Yes,48,3,25,54,6,Yes,No
27,3,34,78,8,Yes,31,1,15,41,4,Yes,No
33,2,27,84,5,Yes,20,2,35,44,9,Yes,No
52,1,0,95,5,Yes,41,2,22,48,8,Yes,No
21,1,37,53,5,Yes,59,2,34,76,3,Yes,Yes
51,2,2,38,2,Yes,58,3,5,16,5,Yes,No
27,2,19,69,8,Yes,55,3,7,25,2,Yes,No
46,1,4,64,4,Yes,35,3,32,18,1,Yes,No
25,2,15,23,6,Yes,56,3,9,82,9,Yes,No
58,2,14,42,6,Yes,38,1,7,60,9,Yes,No
49,2,0,80,8,Yes,52,2,11,10,6,Yes,Yes
56,1,4,44,3,Yes,33,1,8,42,2,Yes,No
53,3,12,10,4,Yes,53,1,28,23,9,Yes,No
21,1,38,92,3,Yes,22,2,15,15,4,Yes,No
25,2,24,43,1,Yes,46,1,15,20,5,Yes,No
29,3,38,78,4,Yes,55,3,29,1,4,Yes,No
25,2,11,99,3,Yes,20,2,14,18,2,Yes,No
52,1,0,8,5,Yes,40,3,21,8,1,Yes,No
19,2,31,6,3,Yes,50,2,17,7,5,Yes,No
41,1,29,69,7,Yes,55,1,22,58,3,Yes,No
47,2,4,81,2,Yes,29,3,32,5,6,Yes,No
35,3,7,7,6,Yes,58,3,37,68,4,Yes,No
45,2,32,6,1,Yes,55,2,6,98,4,Yes,No
41,3,32,74,5,Yes,55,2,9,10,8,Yes,No
54,2,6,35,5,Yes,26,3,23,73,6,Yes,No
31,1,25,53,9,Yes,49,2,16,57,5,Yes,No
58,1,2,64,3,Yes,18,2,6,72,4,Yes,No
55,2,2,53,2,Yes,33,3,38,1,1,Yes,No
57,3,8,15,3,Yes,43,3,37,82,8,Yes,No
